mineral_name,w_mean_pauling,w_cov_pauling
Abellaite,2.8438461538461537,0.27362023830639143
Abelsonite,2.4047058823529412,0.09974343637522301
Abenakiite-(Ce),2.5442105263157893,0.4275619631300007
Abernathyite,2.6966666666666668,0.3112384807273367
Abhurite,2.694647887323944,0.24023884599505305
Abramovite,2.3733333333333335,0.12385494870230189
Acanthite,2.1466666666666665,0.17481879268940537
Acetamide,2.508888888888889,0.17988679331957524
Achyrophanite,2.867272727272727,0.3043314468045519
Actinolite,2.7479999999999998,0.32445607490466893
Acuminite,2.9054545454545453,0.379926841649325
Adamite,2.7644444444444445,0.29791194982968533
Adamsite-(Y),2.6760714285714284,0.27781474612492024
Adelite,2.6544444444444446,0.37817949246437743
Adolfpateraite,2.7785714285714285,0.32090316801736074
Adranosite,2.735625,0.24163429916460386
Adranosite-(Fe),2.7447916666666665,0.23550445941074588
Adrianite,2.57359375,0.40213663894499896
Aegirine,2.7199999999999998,0.3562658294236445
Aegirine-augite,3.0549999999999997,0.23334909225036485
Aenigmatite,2.7279411764705883,0.3239460729738741
Aerinite,2.675,0.302549068028532
Aerugite,2.8466666666666667,0.2576349868684637
Aeschynite-(Ce),2.7285714285714286,0.3342348672195696
Aeschynite-(Nd),2.7285714285714286,0.3342348672195696
Aeschynite-(Y),2.7285714285714286,0.3342348672195696
Afghanite,2.644952830188679,0.3794560531984572
Afmite,2.7308823529411765,0.25548327437138746
Afwillite,2.5904761904761906,0.3524735528067328
Agaite,2.9077777777777776,0.2148029408153528
Agakhanovite-(Y),2.75,0.32912355438282864
Agardite-(Ce),2.7372093023255815,0.26192091769489895
Agardite-(La),2.736744186046512,0.26236000056263653
Agardite-(Nd),2.737674418604651,0.2614861356401374
Agardite-(Y),2.73953488372093,0.2597903424687138
Agmantinite,2.21125,0.18743617771183893
Agrellite,2.717222222222222,0.38476552739031344
Agricolaite,2.639473684210526,0.4179105057190101
Agrinierite,2.692,0.33010754615671967
Aguilarite,2.1416666666666666,0.15317500060785347
Aheylite,2.7594545454545454,0.2612503349580663
Ahlfeldite,2.769090909090909,0.23769035923769014
Aikinite,2.3316666666666666,0.13127910471301715
Ajoite,2.7528877005347594,0.27649849513741315
Akaganeite,NA,NA
Akdalaite,2.697857142857143,0.3280024177416158
Akermanite,2.5991666666666666,0.4134544432468662
Akhtenskite,2.81,0.3883245582805668
Aklimaite,2.58,0.318949139934322
Akrochordite,2.672857142857143,0.2788628047557695
Aksaite,2.7234375,0.2574687087180628
Aktashite,2.2832,0.13324727400932607
Alabandite,2.065,0.3526973291148397
Alacranite,2.3917647058823532,0.08604454345566107
Alamosite,2.91,0.25480584071363055
Alarsite,2.925,0.27963847547665494
Albite,2.750769230769231,0.3414822861546823
Albrechtschraufite,2.7246067415730337,0.27787379371438087
Alburnite,2.1313333333333335,0.13424859677360448
Aldridgeite,2.7754285714285714,0.24424449005302482
Aleksandrovite,2.686984126984127,0.3792831358914756
Aleksite,2.2471428571428573,0.11124390728460995
Aleutite,2.826111111111111,0.2716108249083133
Alexkhomyakovite,2.55,0.37884368865066237
Alflarsenite,2.621935483870968,0.3490450653745317
Alforsite,2.6409523809523807,0.413670076554749
Alfredopetrovite,2.7771875,0.23732863267075385
Algodonite,NA,NA
Aliettite,2.678148148148148,0.31287370166041456
Allactite,2.662121212121212,0.3007509634447926
Allanite-(Ce),2.7177272727272728,0.33877503059425734
Allanite-(La),2.716818181818182,0.3394997977661073
Allanite-(Nd),2.7186363636363637,0.33805692076279215
Allanite-(Y),2.722272727272727,0.33525158272642974
Allargentum,NA,NA
Alleghanyite,2.65,0.3306645268403453
Allendeite,2.6689473684210525,0.388636391956004
Allochalcoselite,2.825,0.2332365919994174
Alloclasite,2.2133333333333334,0.15866948422970997
Allophane,2.68,0.283704804556274
Alloriite,2.6373366834170855,0.3785408819810967
Alluaivite,2.6213432835820893,0.38199739473834887
Alluaudite,2.841578947368421,0.29837929678540354
Almandine,2.7845,0.2970086163878133
Almarudite,2.805531914893617,0.3146654115444272
Almeidaite,2.8144827586206898,0.30047615784629095
Alnaperboeite-(Ce),2.757222222222222,0.32592301715049166
Alpeite,2.6766,0.34169364417435977
Alpersite,2.6862962962962964,0.2471991672705325
Alsakharovite-Zn,2.7044615384615383,0.30459807117690435
Alstonite,2.763,0.37100074737677047
Altaite,2.215,0.07342418043923518
Althausite,2.7413333333333334,0.3679275162882303
Althupite,2.7721,0.26416943536436244
Altisite,2.5625999999999998,0.4123803852688653
Alum-(K),2.6914583333333333,0.25245923093015166
Alum-(Na),2.69375,0.24990953166952523
Aluminite,2.6944444444444446,0.24380094492951299
Aluminium,1.61,NA
Aluminoceladonite,2.7855,0.3104407990938865
Aluminocerite-(Ce),NA,NA
Aluminocopiapite,2.7957894736842106,0.2240538823226819
Aluminocoquimbite,2.795909090909091,0.22871255206864438
Aluminomagnesiohulsite,2.6077777777777778,0.3870312740292073
Aluminopyracmonite,2.7790322580645164,0.21745293559862366
Alumoakermanite,2.71,0.3893819536791031
Alumoedtollite,2.72,0.3390588333095207
Alumohydrocalcite,2.7058064516129035,0.26970202787352093
Alumoklyuchevskite,2.8279310344827584,0.32154203747225835
Alumotantite,2.8116666666666665,0.3464248284130988
Alumovesuvianite,2.6397810218978104,0.367263558374109
Alunite,2.7757692307692308,0.2895081196418648
Alunogen,2.7282352941176473,0.23158309446437572
Alwilkinsite-(Y),2.736231884057971,0.2531597519124262
Amakinite,2.622,0.29056178649671194
Amarantite,2.7841176470588236,0.23027315455742736
Amarillite,2.7493333333333334,0.25729837231271535
Amblygonite,2.815,0.3828310632649038
Amesite,2.638888888888889,0.3280696381402089
Amicite,2.5995348837209304,0.347194379430526
Aminoffite,2.6145454545454547,0.37376480301545184
Ammineite,2.5,0.194088639543895
Ammonioalunite,2.773,0.24800056997774103
Ammonioborite,2.7102564102564104,0.23560255647744838
Ammoniojarosite,2.795,0.2331102900882808
Ammoniomagnesiovoltaite,2.816015037593985,0.23716071053208498
Ammoniozippeite,2.7407692307692306,0.2549936180149724
Analcime,2.6784615384615384,0.339592858135745
Anandite,2.691904761904762,0.3164199543388144
Anapaite,2.6836,0.30063463940832935
Anatase,2.8066666666666666,0.39084281881007915
Anatolyite,2.717179487179487,0.36524725856003226
Ancylite-(Ce),2.752666666666667,0.3174929141585218
Ancylite-(La),2.751333333333333,0.31862082020723725
Andalusite,2.79,0.3231320314607757
Andersonite,2.631693548387097,0.25019847812708373
Andorite IV,2.3536363636363635,0.11744183181507903
Andorite VI,2.3536363636363635,0.11744183181507903
Andradite,2.682,0.3695892840462455
Andreadiniite,2.3495454545454546,0.1141840618340101
Andrianovite,2.6656692913385824,0.37134126253718225
Anduoite,2.186666666666667,0.005280642706002679
Andychristyite,2.851818181818182,0.23960088188824324
Andyrobertsite,2.79475,0.2705356793371797
Angarfite,2.7782608695652176,0.26186506762633055
Angelaite,2.2666666666666666,0.14294049564108016
Anglesite,3.111666666666667,0.16542865877246743
Anhydrite,2.89,0.3417802444081967
Anhydrokainite,2.70375,0.3924861691061143
Anilite,2.1472727272727274,0.15977336340978654
Ankerite,2.971111111111111,0.2805678616643808
Ankinovichite,2.6886046511627906,0.2729133472542105
Annabergite,2.711621621621622,0.23939120797258753
Annite,2.6954545454545453,0.32366842500689885
Anorpiment,2.42,0.0905326541330853
Anorthite,2.733846153846154,0.34881056248528297
Anorthominasragrite,2.755,0.23852970130319526
Ansermetite,2.705238095238095,0.2752331288890359
Antarcticite,2.5885714285714285,0.2639691126081829
Anthoinite,2.8372727272727274,0.2524893182324766
Anthonyite,2.6214285714285714,0.24337873345296027
Anthophyllite,2.7153658536585366,0.3308194653280983
Antigorite,2.638333333333333,0.33063595169699556
Antimonselite,2.3499999999999996,0.11653671436280132
Antimony,2.05,NA
Antipinite,2.7616666666666667,0.32275783398300917
Antlerite,2.7875,0.24841937669731384
Antofagastaite,2.6811764705882353,0.35940145169702886
Anyuiite,2.4,0.05051814855409224
Anzaite-(Ce),2.6893939393939394,0.3616067562168032
Apachite,2.741975308641975,0.25600995272020083
Apexite,2.610294117647059,0.27228596414483186
Aphthitalite,2.5764285714285715,0.4558517546821506
Apjohnite,2.7259550561797754,0.23301592919297587
Aplowite,2.7544444444444447,0.2332018387399721
Apuanite,2.7822727272727272,0.27068747677568544
Aqualite,2.73141935483871,0.2995576074849729
Aradite,2.5964285714285715,0.4371915072860922
Aragonite,2.774,0.3835419925469939
Arakiite,2.6401333333333334,0.2900605242117536
Aramayoite,2.306363636363636,0.13749807828972616
Arangasite,2.75125,0.24688363160049442
Arapovite,NA,NA
Aravaipaite,3.26625,0.2768099004092671
Aravaite,2.6005479452054794,0.42827648248555733
Arcanite,2.5685714285714285,0.4808471012883099
Archerite,2.64625,0.36307508265277727
Arctite,2.612608695652174,0.4361793899650532
Arcubisite,2.151666666666667,0.1475931567944932
Ardaite,2.488157894736842,0.12846294345292356
Ardealite,2.714,0.2900358632478025
Ardennite-(As),2.7352,0.3018638603058346
Ardennite-(V),2.7242,0.30717068996018015
Arfvedsonite,2.716666666666667,0.3248612602617922
Argandite,2.628787878787879,0.3164269696536916
Argentobaumhauerite,2.428828125,0.0744469627825884
Argentodufrenoysite,2.424097222222222,0.07707973786350432
Argentojarosite,2.8438461538461537,0.23870719310730573
Argentoliveingite,NA,NA
Argentopentlandite,2.2076470588235293,0.16453768157438736
Argentopyrite,2.2216666666666667,0.17744750446383903
Argentotennantite-(Zn),2.2324137931034485,0.152628911114496
Argutite,2.9633333333333334,0.27860884756169796
Argyrodite,2.195333333333333,0.14837246840977442
Arhbarite,2.712142857142857,0.2903897027921834
Ariegilatite,2.5832608695652173,0.4371106718105469
Arisite-(Ce),NA,NA
Arisite-(La),NA,NA
Armalcolite,2.8971428571428572,0.32000668072523397
Armangite,2.7072641509433963,0.3047712504919708
Armbrusterite,2.7022527472527473,0.3251133305248679
Armenite,2.7505555555555556,0.31714299762382686
Armstrongite,2.793448275862069,0.29226000876927377
Arrojadite-(BaFe),2.807857142857143,0.28856708845345863
Arrojadite-(KFe),2.7849411764705883,0.29900355861174033
Arrojadite-(KNa),2.752906976744186,0.31551502758053535
